CMDLINE python ./Easy_1346/Easy_1346_Gemini.py
MEM 1.980469 1745353263.0333
MEM 2.714844 1745353263.0360
MEM 4.218750 1745353263.0376
MEM 6.484375 1745353263.0394
MEM 8.007812 1745353263.0411
MEM 8.714844 1745353263.0427
MEM 9.027344 1745353263.0443
MEM 9.359375 1745353263.0460
MEM 9.671875 1745353263.0476
MEM 10.007812 1745353263.0492
MEM 10.355469 1745353263.0507
MEM 10.757812 1745353263.0523
MEM 10.843750 1745353263.0539
MEM 11.101562 1745353263.0555
MEM 11.382812 1745353263.0573
MEM 11.589844 1745353263.0586
MEM 11.941406 1745353263.0602
MEM 11.996094 1745353263.0618
MEM 11.300781 1745353263.0634
