CMDLINE python ./Easy_744/Easy_744_Human.py
MEM 1.980469 1745353277.1032
MEM 2.531250 1745353277.1076
MEM 3.652344 1745353277.1092
MEM 6.265625 1745353277.1110
MEM 7.925781 1745353277.1126
MEM 8.742188 1745353277.1145
MEM 8.996094 1745353277.1161
MEM 9.074219 1745353277.1177
MEM 9.460938 1745353277.1194
MEM 9.750000 1745353277.1211
MEM 10.148438 1745353277.1227
MEM 10.589844 1745353277.1243
MEM 10.765625 1745353277.1259
MEM 10.789062 1745353277.1272
MEM 10.921875 1745353277.1289
MEM 11.117188 1745353277.1305
MEM 11.378906 1745353277.1321
MEM 11.390625 1745353277.1338
MEM 11.410156 1745353277.1352
MEM 11.515625 1745353277.1368
MEM 11.632812 1745353277.1385
MEM 11.960938 1745353277.1397
MEM 11.867188 1745353277.1414
MEM 10.921875 1745353277.1430
