CMDLINE python ./Hard_315/Hard_315_ChatGPT.py
MEM 1.976562 1744916253.7229
MEM 2.527344 1744916253.7242
MEM 3.968750 1744916253.7259
MEM 6.273438 1744916253.7275
MEM 7.789062 1744916253.7291
MEM 8.554688 1744916253.7308
MEM 8.953125 1744916253.7324
MEM 9.105469 1744916253.7341
MEM 9.519531 1744916253.7357
MEM 9.898438 1744916253.7373
MEM 10.738281 1744916253.7390
MEM 11.089844 1744916253.7407
MEM 11.214844 1744916253.7423
MEM 11.316406 1744916253.7438
MEM 11.578125 1744916253.7454
MEM 11.855469 1744916253.7470
MEM 12.117188 1744916253.7486
MEM 12.410156 1744916253.7502
MEM 12.378906 1744916253.7518
MEM 11.667969 1744916253.7534
