CMDLINE python ./Hard_315/Hard_315_Gemini.py
MEM 1.976562 1744916254.4547
MEM 2.804688 1744916254.4561
MEM 4.425781 1744916254.4578
MEM 6.527344 1744916254.4594
MEM 8.175781 1744916254.4610
MEM 8.761719 1744916254.4627
MEM 9.054688 1744916254.4643
MEM 9.468750 1744916254.4659
MEM 9.738281 1744916254.4674
MEM 10.777344 1744916254.4690
MEM 10.859375 1744916254.4706
MEM 11.167969 1744916254.4723
MEM 11.281250 1744916254.4739
MEM 11.531250 1744916254.4756
MEM 11.906250 1744916254.4772
MEM 12.140625 1744916254.4788
MEM 12.441406 1744916254.4804
MEM 12.421875 1744916254.4820
MEM 11.835938 1744916254.4836
