CMDLINE python ./Hard_315/Hard_315_Manual.py
MEM 2.015625 1744916254.8227
MEM 3.167969 1744916254.8243
MEM 4.992188 1744916254.8260
MEM 7.175781 1744916254.8278
MEM 8.558594 1744916254.8296
MEM 8.980469 1744916254.8315
MEM 9.210938 1744916254.8333
MEM 9.660156 1744916254.8351
MEM 10.164062 1744916254.8368
MEM 10.804688 1744916254.8386
MEM 11.152344 1744916254.8403
MEM 11.273438 1744916254.8420
MEM 11.472656 1744916254.8438
MEM 11.667969 1744916254.8455
MEM 11.945312 1744916254.8472
MEM 12.218750 1744916254.8489
MEM 12.574219 1744916254.8507
MEM 12.136719 1744916254.8526
