CMDLINE python ./Hard_315/Hard_315_Gemini.py
MEM 1.921875 1744588822.1932
MEM 2.332031 1744588822.1976
MEM 2.875000 1744588822.1991
MEM 3.183594 1744588822.2008
MEM 4.449219 1744588822.2024
MEM 6.484375 1744588822.2040
MEM 8.000000 1744588822.2058
MEM 8.687500 1744588822.2075
MEM 8.976562 1744588822.2091
MEM 9.234375 1744588822.2108
MEM 9.519531 1744588822.2124
MEM 9.777344 1744588822.2139
MEM 10.113281 1744588822.2150
MEM 10.722656 1744588822.2164
MEM 10.843750 1744588822.2180
MEM 11.089844 1744588822.2197
MEM 11.089844 1744588822.2212
MEM 11.218750 1744588822.2229
MEM 11.328125 1744588822.2246
MEM 11.593750 1744588822.2262
MEM 11.824219 1744588822.2277
MEM 12.027344 1744588822.2293
MEM 12.281250 1744588822.2310
MEM 12.398438 1744588822.2323
MEM 12.281250 1744588822.2340
MEM 11.773438 1744588822.2358
