CMDLINE python ./Hard_778/Hard_778_ChatGPT.py
MEM 1.925781 1744916262.7501
MEM 2.449219 1744916262.7519
MEM 3.582031 1744916262.7537
MEM 5.980469 1744916262.7553
MEM 7.601562 1744916262.7568
MEM 8.656250 1744916262.7584
MEM 8.992188 1744916262.7601
MEM 9.250000 1744916262.7617
MEM 9.542969 1744916262.7633
MEM 9.964844 1744916262.7648
MEM 10.867188 1744916262.7663
MEM 10.992188 1744916262.7678
MEM 11.078125 1744916262.7694
MEM 11.148438 1744916262.7710
MEM 11.320312 1744916262.7726
MEM 11.695312 1744916262.7742
MEM 11.781250 1744916262.7758
MEM 11.996094 1744916262.7774
MEM 12.296875 1744916262.7790
MEM 12.246094 1744916262.7807
MEM 11.574219 1744916262.7823
