CMDLINE python ./Hard_778/Hard_778_Claude.py
MEM 1.988281 1744916263.1195
MEM 3.000000 1744916263.1212
MEM 4.710938 1744916263.1228
MEM 6.628906 1744916263.1245
MEM 8.230469 1744916263.1262
MEM 8.765625 1744916263.1278
MEM 9.054688 1744916263.1294
MEM 9.476562 1744916263.1310
MEM 9.824219 1744916263.1327
MEM 10.679688 1744916263.1344
MEM 11.027344 1744916263.1361
MEM 11.136719 1744916263.1377
MEM 11.273438 1744916263.1394
MEM 11.625000 1744916263.1410
MEM 11.757812 1744916263.1426
MEM 12.027344 1744916263.1442
MEM 12.367188 1744916263.1458
MEM 12.261719 1744916263.1475
