CMDLINE python ./Medium_162/Medium_162_ChatGPT.py
MEM 1.988281 1745097147.3352
MEM 2.796875 1745097147.3431
MEM 3.417969 1745097147.3447
MEM 4.070312 1745097147.3464
MEM 5.617188 1745097147.3480
MEM 7.617188 1745097147.3496
MEM 8.957031 1745097147.3512
MEM 9.425781 1745097147.3528
MEM 9.718750 1745097147.3544
MEM 10.062500 1745097147.3560
MEM 10.375000 1745097147.3576
MEM 10.777344 1745097147.3592
MEM 11.304688 1745097147.3608
MEM 11.437500 1745097147.3624
MEM 11.589844 1745097147.3640
MEM 11.769531 1745097147.3656
MEM 12.062500 1745097147.3672
MEM 12.363281 1745097147.3689
MEM 12.714844 1745097147.3705
MEM 12.656250 1745097147.3720
