CMDLINE python ./Medium_162/Medium_162_Human.py
MEM 1.980469 1745097148.4773
MEM 3.023438 1745097148.4793
MEM 3.542969 1745097148.4810
MEM 4.070312 1745097148.4823
MEM 6.687500 1745097148.4842
MEM 8.527344 1745097148.4860
MEM 9.398438 1745097148.4878
MEM 9.671875 1745097148.4896
MEM 9.941406 1745097148.4912
MEM 10.351562 1745097148.4928
MEM 10.761719 1745097148.4945
MEM 10.980469 1745097148.4962
MEM 11.253906 1745097148.4979
MEM 11.386719 1745097148.4995
MEM 11.500000 1745097148.5012
MEM 11.761719 1745097148.5028
MEM 12.046875 1745097148.5045
MEM 12.140625 1745097148.5062
MEM 12.453125 1745097148.5078
MEM 12.519531 1745097148.5094
MEM 11.566406 1745097148.5111
