CMDLINE python ./Medium_475/Medium_475_Claude.py
MEM 1.867188 1745097153.8516
MEM 2.453125 1745097153.8534
MEM 3.328125 1745097153.8550
MEM 4.070312 1745097153.8567
MEM 5.871094 1745097153.8584
MEM 8.125000 1745097153.8602
MEM 9.191406 1745097153.8621
MEM 9.542969 1745097153.8639
MEM 9.691406 1745097153.8656
MEM 9.824219 1745097153.8672
MEM 10.183594 1745097153.8689
MEM 10.468750 1745097153.8707
MEM 10.929688 1745097153.8724
MEM 11.296875 1745097153.8742
MEM 11.445312 1745097153.8759
MEM 11.535156 1745097153.8776
MEM 11.542969 1745097153.8790
MEM 11.699219 1745097153.8807
MEM 12.093750 1745097153.8824
MEM 12.191406 1745097153.8841
MEM 12.445312 1745097153.8857
MEM 12.781250 1745097153.8875
MEM 12.687500 1745097153.8891
