CMDLINE python ./Medium_81/Medium_81_Gemini.py
MEM 2.027344 1745097160.4413
MEM 2.859375 1745097160.4457
MEM 3.417969 1745097160.4473
MEM 4.175781 1745097160.4489
MEM 6.531250 1745097160.4505
MEM 8.191406 1745097160.4520
MEM 9.269531 1745097160.4536
MEM 9.613281 1745097160.4552
MEM 9.812500 1745097160.4568
MEM 10.179688 1745097160.4585
MEM 10.488281 1745097160.4601
MEM 11.160156 1745097160.4618
MEM 11.289062 1745097160.4633
MEM 11.414062 1745097160.4649
MEM 11.617188 1745097160.4665
MEM 12.101562 1745097160.4681
MEM 12.230469 1745097160.4697
MEM 12.441406 1745097160.4713
MEM 12.660156 1745097160.4729
MEM 12.171875 1745097160.4745
