CMDLINE python ./Medium_153/Medium_153_Human.py
MEM 1.980469 1745097146.9386
MEM 2.871094 1745097146.9426
MEM 3.445312 1745097146.9443
MEM 4.070312 1745097146.9460
MEM 6.398438 1745097146.9475
MEM 7.984375 1745097146.9492
MEM 9.191406 1745097146.9508
MEM 9.464844 1745097146.9524
MEM 9.718750 1745097146.9540
MEM 10.066406 1745097146.9557
MEM 10.371094 1745097146.9573
MEM 11.343750 1745097146.9589
MEM 11.457031 1745097146.9605
MEM 11.789062 1745097146.9621
MEM 11.902344 1745097146.9637
MEM 12.156250 1745097146.9653
MEM 12.460938 1745097146.9669
MEM 12.734375 1745097146.9684
MEM 13.027344 1745097146.9700
MEM 13.027344 1745097146.9717
MEM 12.164062 1745097146.9733
