CMDLINE python ./Medium_209/Medium_209_Gemini.py
MEM 1.976562 1745097149.6166
MEM 2.296875 1745097149.6179
MEM 2.714844 1745097149.6197
MEM 3.363281 1745097149.6213
MEM 4.070312 1745097149.6229
MEM 5.671875 1745097149.6245
MEM 7.675781 1745097149.6262
MEM 8.980469 1745097149.6278
MEM 9.488281 1745097149.6294
MEM 9.695312 1745097149.6307
MEM 9.882812 1745097149.6322
MEM 10.179688 1745097149.6338
MEM 10.394531 1745097149.6355
MEM 11.210938 1745097149.6372
MEM 11.445312 1745097149.6389
MEM 11.519531 1745097149.6406
MEM 11.761719 1745097149.6424
MEM 11.882812 1745097149.6443
MEM 11.890625 1745097149.6462
MEM 11.957031 1745097149.6476
MEM 12.125000 1745097149.6489
MEM 12.472656 1745097149.6506
MEM 12.535156 1745097149.6523
MEM 12.812500 1745097149.6538
MEM 13.167969 1745097149.6554
MEM 13.070312 1745097149.6569
