CMDLINE python ./Medium_532/Medium_532_ChatGPT.py
MEM 1.980469 1745097155.0229
MEM 2.472656 1745097155.0250
MEM 3.335938 1745097155.0266
MEM 4.062500 1745097155.0282
MEM 5.628906 1745097155.0298
MEM 7.742188 1745097155.0315
MEM 9.070312 1745097155.0332
MEM 9.562500 1745097155.0348
MEM 9.695312 1745097155.0365
MEM 10.097656 1745097155.0380
MEM 10.335938 1745097155.0392
MEM 10.609375 1745097155.0409
MEM 11.000000 1745097155.0425
MEM 11.285156 1745097155.0442
MEM 11.410156 1745097155.0458
MEM 11.496094 1745097155.0473
MEM 11.816406 1745097155.0489
MEM 12.089844 1745097155.0504
MEM 12.347656 1745097155.0520
MEM 12.625000 1745097155.0536
MEM 12.621094 1745097155.0552
MEM 11.703125 1745097155.0568
