CMDLINE python ./Hard_4/Hard_4_ChatGPT.py
MEM 1.976562 1744588824.6400
MEM 3.015625 1744588824.6417
MEM 4.761719 1744588824.6436
MEM 6.949219 1744588824.6453
MEM 8.281250 1744588824.6469
MEM 8.761719 1744588824.6485
MEM 9.046875 1744588824.6501
MEM 9.359375 1744588824.6517
MEM 9.687500 1744588824.6533
MEM 10.285156 1744588824.6549
MEM 10.558594 1744588824.6564
MEM 10.808594 1744588824.6580
MEM 10.898438 1744588824.6596
MEM 11.078125 1744588824.6612
MEM 11.492188 1744588824.6627
MEM 11.535156 1744588824.6642
MEM 11.800781 1744588824.6659
MEM 12.066406 1744588824.6675
MEM 12.218750 1744588824.6691
MEM 11.371094 1744588824.6707
